collection,title,url,expected_active_bijoux,public_visible_products,missing_active_bijoux,missing_product_titles,missing_product_handles,unexpected_or_non_bijou_active,unexpected_product_titles,unexpected_product_handles,hub_card_present,guide_a_z_linked,configured_piece_count_internal,configured_count_matches_public
par-pierre-citrine,Bijoux : Citrine,https://milaura.fr/collections/par-pierre-citrine,2,2,0,,,0,,,YES,NO,2,YES
par-pierre-corail-fossile,Bijoux : Corail fossile,https://milaura.fr/collections/par-pierre-corail-fossile,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-cornaline,Bijoux en cornaline,https://milaura.fr/collections/par-pierre-cornaline,10,7,3,"Bracelet doré en améthyste, cornaline et cristal de roche|Bracelet doré en cornaline 6 mm|Bracelet doré en cornaline facettée",bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche|bracelet-dore-en-cornaline-6-mm|bracelet-dore-en-cornaline-facettee,0,,,YES,NO,7,YES
par-pierre-cristal-de-roche,Bijoux : Cristal de roche,https://milaura.fr/collections/par-pierre-cristal-de-roche,8,4,4,"Bracelet doré en améthyste, cornaline et cristal de roche|Bracelet doré en lapis-lazuli, spinelle et cristal de roche|Bracelet doré en sodalite et pierres bleues|Collier doré en cristal de roche",bracelet-dore-en-amethyste-cornaline-et-cristal-de-roche|bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche|bracelet-dore-en-sodalite-et-pierres-bleues|collier-dore-en-cristal-de-roche,0,,,YES,NO,4,YES
par-pierre-cyanite-bleue,Bijoux : Cyanite bleue,https://milaura.fr/collections/par-pierre-cyanite-bleue,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-dumortierite,Bijoux : Dumortiérite,https://milaura.fr/collections/par-pierre-dumortierite,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-fluorine,Bijoux : Fluorine,https://milaura.fr/collections/par-pierre-fluorine,3,3,0,,,0,,,YES,NO,3,YES
par-pierre-grenat,Bijoux : Grenat,https://milaura.fr/collections/par-pierre-grenat,10,1,9,Boucles d'oreilles pendantes en grenat rouge 12 mm|Boucles d'oreilles puces en grenat rouge 8 mm|Bracelet doré en grenat rhodolite 3 mm|Bracelet en grenat rouge 4 mm|Bracelet en grenat rouge 6 mm|Bracelet en grenat rouge 8 mm|Bracelet facetté en grenat rouge 4 mm|Collier en grenat rouge 4 mm - 45 cm|Collier en grenat rouge 6 mm - 45 cm,boucles-d-oreilles-pendantes-en-grenat-rouge-12-mm|boucles-d-oreilles-puces-en-grenat-rouge-8-mm|bracelet-dore-en-grenat-rhodolite-3-mm|bracelet-en-grenat-rouge-4-mm|bracelet-en-grenat-rouge-6-mm|bracelet-en-grenat-rouge-8-mm|bracelet-facette-en-grenat-rouge-4-mm|collier-en-grenat-rouge-4-mm-45-cm|collier-en-grenat-rouge-6-mm-45-cm,0,,,YES,NO,1,YES
par-pierre-hematite,Bijoux : Hématite,https://milaura.fr/collections/par-pierre-hematite,7,7,0,,,0,,,YES,NO,7,YES
par-pierre-howlite,Bijoux : Howlite,https://milaura.fr/collections/par-pierre-howlite,6,4,2,Bracelet doré en howlite blanche 6 mm|Bracelet doré en howlite et pierre de lave 6 mm,bracelet-dore-en-howlite-blanche-6-mm|bracelet-dore-en-howlite-et-pierre-de-lave-6-mm,0,,,YES,NO,4,YES
par-pierre-jade,Bijoux : Jade,https://milaura.fr/collections/par-pierre-jade,2,2,0,,,0,,,YES,NO,2,YES
par-pierre-jaspe,Bijoux : Jaspe,https://milaura.fr/collections/par-pierre-jaspe,2,4,0,,,2,"Bracelet baroque en jaspe rouge - 16 à 18 cm|Collier en jaspe rouge 6 mm, 45 cm",bracelet-baroque-en-jaspe-rouge-16-a-18-cm|collier-en-jaspe-rouge-6-mm-45-cm,YES,NO,4,YES
par-pierre-jaspe-rouge,Bijoux en jaspe rouge,https://milaura.fr/collections/par-pierre-jaspe-rouge,3,5,0,,,2,Accessoire minéral Bouddha en jaspe rouge - 50 mm|Pendule égyptien en jaspe rouge,accessoire-mineral-bouddha-en-jaspe-rouge-50-mm|pendule-jaspe-rouge,NO,YES,,NO
par-pierre-labradorite,Bijoux : Labradorite,https://milaura.fr/collections/par-pierre-labradorite,7,2,5,Bracelet argenté en labradorite 6 mm|Bracelet argenté en labradorite 8 mm|Bracelet doré en labradorite 8 mm|Bracelet baroque en labradorite|Collier doré en labradorite,bracelet-argente-en-labradorite-6-mm|bracelet-argente-en-labradorite-8-mm|bracelet-dore-en-labradorite-8-mm|bracelet-labradorite|collier-dore-en-labradorite,0,,,YES,NO,2,YES
par-pierre-lapis-lazuli,Bijoux en lapis-lazuli,https://milaura.fr/collections/par-pierre-lapis-lazuli,9,7,2,"Bracelet doré en lapis-lazuli 4 à 12 mm|Bracelet doré en lapis-lazuli, spinelle et cristal de roche",bracelet-dore-en-lapis-lazuli-4-a-12-mm|bracelet-dore-en-lapis-lazuli-spinelle-et-cristal-de-roche,0,,,YES,YES,6,NO
par-pierre-lepidolite,Bijoux : Lépidolite,https://milaura.fr/collections/par-pierre-lepidolite,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-malachite,Bijoux : Malachite,https://milaura.fr/collections/par-pierre-malachite,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-obsidienne,Bijoux : Obsidienne,https://milaura.fr/collections/par-pierre-obsidienne,6,5,1,Bracelet doré en obsidienne noire 6 mm,bracelet-dore-en-obsidienne-noire-6-mm,0,,,YES,NO,4,NO
par-pierre-oeil-de-taureau,Bijoux : Œil de taureau,https://milaura.fr/collections/par-pierre-oeil-de-taureau,5,5,0,,,0,,,YES,NO,5,YES
par-pierre-oeil-de-tigre,Bijoux en œil de tigre,https://milaura.fr/collections/par-pierre-oeil-de-tigre,10,8,2,Bracelet doré en oeil de tigre 6 mm|Collier doré en œil de tigre,bracelet-dore-en-oeil-de-tigre-6-mm|collier-dore-en-oeil-de-tigre,0,,,YES,YES,8,YES
par-pierre-onyx,Bijoux en onyx,https://milaura.fr/collections/par-pierre-onyx,12,11,1,Bracelet homme en lapis-lazuli et onyx 8 mm,bracelet-celyos-argente-lapis-lazuli-onyx-a,0,,,YES,NO,11,YES
par-pierre-pierre-de-lave,Bijoux : Pierre de lave,https://milaura.fr/collections/par-pierre-pierre-de-lave,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-pierre-de-lune,Bijoux : Pierre de lune,https://milaura.fr/collections/par-pierre-pierre-de-lune,3,2,1,Bracelet doré en nacre et pierre de lune,bracelet-dore-en-nacre-et-pierre-de-lune,0,,,YES,NO,2,YES
par-pierre-pierre-de-soleil,Bijoux : Pierre de soleil,https://milaura.fr/collections/par-pierre-pierre-de-soleil,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-quartz-fraise,Bijoux : Quartz fraise,https://milaura.fr/collections/par-pierre-quartz-fraise,1,1,0,,,0,,,YES,NO,1,YES
par-pierre-quartz-rose,Bijoux en quartz rose,https://milaura.fr/collections/par-pierre-quartz-rose,12,11,1,Bracelet doré en quartz rose 8 mm,bracelet-dore-en-quartz-rose-8-mm,0,,,YES,YES,10,NO
par-pierre-rhodonite,Bijoux : Rhodonite,https://milaura.fr/collections/par-pierre-rhodonite,4,3,1,Pendentif ovale doré en rhodonite - 20 mm,pendentif-rhodonite,0,,,YES,NO,3,YES
par-pierre-sodalite,Bijoux en sodalite,https://milaura.fr/collections/par-pierre-sodalite,12,9,3,Bracelet doré en sodalite 6 mm|Bracelet doré en sodalite - Perles de 6 mm|Collier argenté en sodalite à pampilles,bracelet-dore-en-sodalite-6-mm|bracelet-dore-en-sodalite-perles-de-6-mm|collier-argente-en-sodalite-a-pampilles,0,,,YES,YES,10,NO
par-pierre-tourmaline,Bijoux : Tourmaline,https://milaura.fr/collections/par-pierre-tourmaline,2,1,1,"Bracelet doré en tourmaline, quartz fumé et aigue-marine",bracelet-dore-en-tourmaline-quartz-fume-et-aigue-marine,0,,,YES,NO,1,YES
par-pierre-turquoise,Bijoux : Turquoise d’Afrique,https://milaura.fr/collections/par-pierre-turquoise,1,1,0,,,0,,,YES,NO,1,YES
