"shopify_product_id","title","handle","online_store_url","stone_name","stone_handle","content_updated_at","stone_description_length","story_text_length","content_review_status","current_live_second_tab_source"
"10669625966939","Bracelet Horus doré en sodalite 6 mm","bracelet-horus-dore-en-sodalite-6-mm","https://milaura.fr/products/bracelet-horus-dore-en-sodalite-6-mm","Sodalite","sodalite","2026-08-25",102,650,"stone_description_too_short","story_text_wrongly_rendered"
"10669953122651","Collier boho doré en améthyste - 38 à 43 cm","collier-boho-dore-en-amethyste-38-a-43-cm","https://milaura.fr/products/collier-boho-dore-en-amethyste-38-a-43-cm","Améthyste","amethyste","2026-08-30",108,495,"stone_description_too_short","story_text_wrongly_rendered"
"10669947781467","Bracelet Iris doré en aigue-marine, cornaline et grenat 4 mm","bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm","https://milaura.fr/products/bracelet-iris-dore-en-aigue-marine-cornaline-et-grenat-4-mm","Aigue-marine, cornaline et grenat","aigue-marine","2026-08-30",119,553,"stone_description_too_short","story_text_wrongly_rendered"
"10694386745691","Sphère en agate indienne - 30 mm","sphere-en-agate-indienne-30-mm","https://milaura.fr/products/sphere-en-agate-indienne-30-mm","Agate indienne","agate","2026-09-04",207,591,"stone_description_too_short","story_text_wrongly_rendered"
"10694393463131","Sphère en jaspe héliotrope - 30 mm","sphere-en-jaspe-heliotrope-30-mm","https://milaura.fr/products/sphere-en-jaspe-heliotrope-30-mm","Jaspe héliotrope","jaspe-heliotrope","2026-09-04",176,581,"stone_description_too_short","story_text_wrongly_rendered"
"10694387368283","Sphère en jade de Chine - 30 mm","sphere-en-jade-de-chine-30-mm","https://milaura.fr/products/sphere-en-jade-de-chine-30-mm","Jade de Chine","jade","2026-09-04",205,588,"stone_description_too_short","story_text_wrongly_rendered"
"10694383010139","Accessoire porte-clés goutte en quartz rose","accessoire-porte-cles-goutte-en-quartz-rose","https://milaura.fr/products/accessoire-porte-cles-goutte-en-quartz-rose","Quartz rose","quartz-rose","2026-09-04",146,551,"stone_description_too_short","story_text_wrongly_rendered"
"10694385860955","Accessoire porte-clés en améthyste claire","accessoire-porte-cles-en-amethyste-claire","https://milaura.fr/products/accessoire-porte-cles-en-amethyste-claire","Améthyste","amethyste","2026-09-04",151,561,"stone_description_too_short","story_text_wrongly_rendered"
"10694371541339","Accessoire flacon roll-on en œil de tigre","accessoire-flacon-roll-on-en-oeil-de-tigre","https://milaura.fr/products/accessoire-flacon-roll-on-en-oeil-de-tigre","Œil de tigre","oeil-de-tigre","2026-09-04",135,537,"stone_description_too_short","story_text_wrongly_rendered"
"10694375965019","Orgonite 7 chakras - 60 mm","orgonite-7-chakras-60-mm","https://milaura.fr/products/orgonite-7-chakras-60-mm","Pierres 7 chakras","","2026-09-04",134,488,"stone_description_too_short","story_text_wrongly_rendered"
"10694373769563","Accessoire minéral grenouille en quartz rose - 50 mm","accessoire-mineral-grenouille-en-quartz-rose-50-mm","https://milaura.fr/products/accessoire-mineral-grenouille-en-quartz-rose-50-mm","Quartz rose","quartz-rose","2026-09-04",148,480,"stone_description_too_short","story_text_wrongly_rendered"
"10694372163931","Accessoire flacon roll-on en quartz rose","accessoire-flacon-roll-on-en-quartz-rose","https://milaura.fr/products/accessoire-flacon-roll-on-en-quartz-rose","Quartz rose","quartz-rose","2026-09-04",149,550,"stone_description_too_short","story_text_wrongly_rendered"
"10694371279195","Accessoire flacon roll-on en obsidienne noire","accessoire-flacon-roll-on-en-obsidienne-noire","https://milaura.fr/products/accessoire-flacon-roll-on-en-obsidienne-noire","Obsidienne noire","obsidienne-noire","2026-09-04",129,535,"stone_description_too_short","story_text_wrongly_rendered"
"10694376849755","Accessoire minéral pointe biterminée en cristal de roche - 30 mm","accessoire-mineral-pointe-biterminee-en-cristal-de-roche-30-mm","https://milaura.fr/products/accessoire-mineral-pointe-biterminee-en-cristal-de-roche-30-mm","Cristal de roche","cristal-de-roche","2026-09-04",138,467,"stone_description_too_short","story_text_wrongly_rendered"
"10694312657243","Coffret découverte 7 chakras","coffret-decouverte-7-chakras","https://milaura.fr/products/coffret-decouverte-7-chakras","Coffret en carton et sélection minérale","","2026-09-04",0,463,"missing_stone_description","story_text_wrongly_rendered"
"10694315376987","Accessoire flacon roll-on en fluorine multicolore","accessoire-flacon-roll-on-en-fluorine-multicolore","https://milaura.fr/products/accessoire-flacon-roll-on-en-fluorine-multicolore","Fluorine multicolore","fluorine","2026-09-04",159,569,"stone_description_too_short","story_text_wrongly_rendered"
"10694314066267","Accessoire flacon roll-on en aventurine verte","accessoire-flacon-roll-on-en-aventurine-verte","https://milaura.fr/products/accessoire-flacon-roll-on-en-aventurine-verte","Aventurine verte","aventurine-verte","2026-09-04",144,550,"stone_description_too_short","story_text_wrongly_rendered"
"10694313869659","Accessoire minéral croissant gravé en sélénite - 70 à 80 mm","accessoire-mineral-croissant-grave-en-selenite-70-a-80-mm","https://milaura.fr/products/accessoire-mineral-croissant-grave-en-selenite-70-a-80-mm","Sélénite","selenite","2026-09-04",146,438,"stone_description_too_short","story_text_wrongly_rendered"
"10694255837531","Bracelet baroque en quartz rose de Madagascar - 16 à 18 cm","bracelet-baroque-en-quartz-rose-de-madagascar-16-a-18-cm","https://milaura.fr/products/bracelet-baroque-en-quartz-rose-de-madagascar-16-a-18-cm","Quartz rose","quartz-rose","2026-09-04",157,481,"stone_description_too_short","story_text_wrongly_rendered"
"10694314754395","Accessoire flacon roll-on en cristal de roche","accessoire-flacon-roll-on-en-cristal-de-roche","https://milaura.fr/products/accessoire-flacon-roll-on-en-cristal-de-roche","Cristal de roche","cristal-de-roche","2026-09-04",147,553,"stone_description_too_short","story_text_wrongly_rendered"
"10694305808731","Bracelet en quartz rose du Brésil 6 mm - 16 à 18 cm","bracelet-en-quartz-rose-du-bresil-6-mm-16-a-18-cm","https://milaura.fr/products/bracelet-en-quartz-rose-du-bresil-6-mm-16-a-18-cm","Quartz rose","quartz-rose","2026-09-04",146,412,"stone_description_too_short","story_text_wrongly_rendered"
"10694252396891","Bracelet baroque en citrine chauffée - 16 à 18 cm","bracelet-baroque-en-citrine-chauffee-16-a-18-cm","https://milaura.fr/products/bracelet-baroque-en-citrine-chauffee-16-a-18-cm","Citrine chauffée","citrine","2026-09-04",171,472,"stone_description_too_short","story_text_wrongly_rendered"
"10694247350619","Bracelet baroque en aventurine verte - 16 à 18 cm","bracelet-baroque-en-aventurine-verte-16-a-18-cm","https://milaura.fr/products/bracelet-baroque-en-aventurine-verte-16-a-18-cm","Aventurine verte","aventurine-verte","2026-09-04",158,476,"stone_description_too_short","story_text_wrongly_rendered"
"10693995168091","Accessoire minéral Bouddha en cristal de roche - 40 mm","accessoire-mineral-bouddha-en-cristal-de-roche-40-mm","https://milaura.fr/products/accessoire-mineral-bouddha-en-cristal-de-roche-40-mm","Cristal de roche","cristal-de-roche","2026-09-04",146,462,"stone_description_too_short","story_text_wrongly_rendered"
"10693966266715","Pendentif cœur en fluorine verte 15 mm","pendentif-coeur-en-fluorine-verte-15-mm","https://milaura.fr/products/pendentif-coeur-en-fluorine-verte-15-mm","Fluorine verte","fluorine","2026-09-04",132,450,"stone_description_too_short","story_text_wrongly_rendered"
"10693992972635","Distributeur de savon en quartz rose - 100 à 150 mm","distributeur-de-savon-en-quartz-rose-100-a-150-mm","https://milaura.fr/products/distributeur-de-savon-en-quartz-rose-100-a-150-mm","Quartz rose","quartz-rose","2026-09-04",156,460,"stone_description_too_short","story_text_wrongly_rendered"
"10694000738651","Bracelet baroque en ambre jaune - 16 à 18 cm","bracelet-baroque-en-ambre-jaune-16-a-18-cm","https://milaura.fr/products/bracelet-baroque-en-ambre-jaune-16-a-18-cm","Ambre jaune","ambre","2026-09-04",158,443,"stone_description_too_short","story_text_wrongly_rendered"
"10693997953371","Accessoire minéral Bouddha en jaspe rouge - 50 mm","accessoire-mineral-bouddha-en-jaspe-rouge-50-mm","https://milaura.fr/products/accessoire-mineral-bouddha-en-jaspe-rouge-50-mm","Jaspe rouge","jaspe-rouge","2026-09-04",155,462,"stone_description_too_short","story_text_wrongly_rendered"
"10693964497243","Bracelet en aigue-marine 4,5 à 5,5 mm - 16 à 18 cm","bracelet-en-aigue-marine-4-5-a-5-5-mm-16-a-18-cm","https://milaura.fr/products/bracelet-en-aigue-marine-4-5-a-5-5-mm-16-a-18-cm","Aigue-marine","aigue-marine","2026-09-04",121,422,"stone_description_too_short","story_text_wrongly_rendered"
"10693911839067","Savon à la framboise","savon-a-la-framboise","https://milaura.fr/products/savon-a-la-framboise","Savon parfum framboise","","2026-09-04",0,425,"missing_stone_description","story_text_wrongly_rendered"
"10693899485531","Collier en quartz rose 4 mm - 45 cm","collier-en-quartz-rose-4-mm-45-cm","https://milaura.fr/products/collier-en-quartz-rose-4-mm-45-cm","Quartz rose","quartz-rose","2026-09-04",122,412,"stone_description_too_short","story_text_wrongly_rendered"
"10693894406491","Bracelet en obsidienne noire 10 mm - 16 à 18 cm","bracelet-en-obsidienne-noire-10-mm-16-a-18-cm","https://milaura.fr/products/bracelet-en-obsidienne-noire-10-mm-16-a-18-cm","Obsidienne noire","obsidienne-noire","2026-09-04",160,489,"stone_description_too_short","story_text_wrongly_rendered"
"10693910004059","Savon à l'argan","savon-a-l-argan","https://milaura.fr/products/savon-a-l-argan","Savon parfum argan","","2026-09-04",0,412,"missing_stone_description","story_text_wrongly_rendered"
"10693962498395","Bracelet en cornaline 10 mm - 16 à 18 cm","bracelet-en-cornaline-10-mm-16-a-18-cm","https://milaura.fr/products/bracelet-en-cornaline-10-mm-16-a-18-cm","Cornaline","cornaline","2026-09-04",151,409,"stone_description_too_short","story_text_wrongly_rendered"
"10693916918107","Savon à la verveine","savon-a-la-verveine","https://milaura.fr/products/savon-a-la-verveine","Savon parfum verveine","","2026-09-04",0,419,"missing_stone_description","story_text_wrongly_rendered"
"10693898174811","Bracelet en cornaline 14 mm - 16 à 18 cm","bracelet-en-cornaline-14-mm-16-a-18-cm","https://milaura.fr/products/bracelet-en-cornaline-14-mm-16-a-18-cm","Cornaline","cornaline","2026-09-04",150,411,"stone_description_too_short","story_text_wrongly_rendered"
"10693915738459","Savon à la rose","savon-a-la-rose","https://milaura.fr/products/savon-a-la-rose","Savon parfum rose","","2026-09-04",0,419,"missing_stone_description","story_text_wrongly_rendered"
"10693884969307","Bracelet en citrine chauffée 8 mm - 16 à 18 cm","bracelet-en-citrine-chauffee-8-mm-16-a-18-cm","https://milaura.fr/products/bracelet-en-citrine-chauffee-8-mm-16-a-18-cm","Citrine chauffée","citrine","2026-09-04",135,412,"stone_description_too_short","story_text_wrongly_rendered"
"10693913772379","Savon au miel","savon-au-miel","https://milaura.fr/products/savon-au-miel","Savon parfum miel","","2026-09-04",0,431,"missing_stone_description","story_text_wrongly_rendered"
"10693896765787","Bracelet en quartz rose 12 mm - 16 à 18 cm","bracelet-en-quartz-rose-12-mm-16-a-18-cm","https://milaura.fr/products/bracelet-en-quartz-rose-12-mm-16-a-18-cm","Quartz rose","quartz-rose","2026-09-04",160,463,"stone_description_too_short","story_text_wrongly_rendered"
"10685849862491","Bracelet fin en hématite - Perles de 4 mm","bracelet-fin-en-hematite-perles-de-4-mm","https://milaura.fr/products/bracelet-fin-en-hematite-perles-de-4-mm","Hématite","hematite","2026-09-01",102,375,"stone_description_too_short","story_text_wrongly_rendered"
"10358580412763","Oeuf Agate","oeuf-agate","https://milaura.fr/products/oeuf-agate","Agate","agate","",0,674,"missing_stone_description","story_text_wrongly_rendered"
"10357443330395","Bracelet Baroque Séraphinite","bracelet-seraphinite","https://milaura.fr/products/bracelet-seraphinite","Séraphinite","seraphinite","",0,690,"missing_stone_description","story_text_wrongly_rendered"
"10357688631643","Pendule Œil de Tigre","pendule-oeil-de-tigre","https://milaura.fr/products/pendule-oeil-de-tigre","Oeil De Tigre","oeil-de-tigre","",0,643,"missing_stone_description","story_text_wrongly_rendered"
"10357476295003","Bracelet Jade Néphrite 8mm","bracelet-jade-nephrite-3","https://milaura.fr/products/bracelet-jade-nephrite-3","Jade","jade","",0,801,"missing_stone_description","story_text_wrongly_rendered"
"10357464793435","Bracelet Agate Indienne 8mm","bracelet-agate-indienne-1","https://milaura.fr/products/bracelet-agate-indienne-1","Agate","agate","",0,658,"missing_stone_description","story_text_wrongly_rendered"
"10357454176603","Bracelet Jaspe Brun 6mm","bracelet-jaspe-brun","https://milaura.fr/products/bracelet-jaspe-brun","Jaspe","jaspe","",0,608,"missing_stone_description","story_text_wrongly_rendered"
"10357436711259","Bracelet Baroque Citrine","bracelet-citrine","https://milaura.fr/products/bracelet-citrine","Citrine","citrine","",0,772,"missing_stone_description","story_text_wrongly_rendered"
"10357442707803","Bracelet Baroque Pierre de Soleil","bracelet-pierre-de-soleil","https://milaura.fr/products/bracelet-pierre-de-soleil","Pierre De Soleil","pierre-de-soleil","",0,719,"missing_stone_description","story_text_wrongly_rendered"
"10488166220123","Bracelet Lapis Lazuli Onyx","bracelet-celyos-argente-lapis-lazuli-onyx-a","https://milaura.fr/products/bracelet-celyos-argente-lapis-lazuli-onyx-a","Lapis Lazuli","lapis-lazuli","",395,624,"semantic_review_required","story_text_wrongly_rendered"
"10357668577627","Pyramide Sélénite","pyramide-selenite","https://milaura.fr/products/pyramide-selenite","Sélénite","selenite","",0,805,"missing_stone_description","story_text_wrongly_rendered"
"10402430452059","Collier Jaspe Rouge","collier-boule-06mm-jaspe-rouge-a","https://milaura.fr/products/collier-boule-06mm-jaspe-rouge-a","Jaspe Rouge","jaspe-rouge","",492,605,"semantic_review_required","story_text_wrongly_rendered"
"10357486027099","Bracelet Aventurine Rouge 10mm","bracelet-aventurine-rouge-1","https://milaura.fr/products/bracelet-aventurine-rouge-1","Aventurine","aventurine","",0,676,"missing_stone_description","story_text_wrongly_rendered"
"10357425176923","Boucles d'Oreilles Aventurine","boucles-doreilles-aventurine-1","https://milaura.fr/products/boucles-doreilles-aventurine-1","Aventurine","aventurine","",0,524,"missing_stone_description","story_text_wrongly_rendered"
"10314320904539","Bougie Réconfort - Calcédoine bleue","bougie-reconfort-neroli-calcedoine","https://milaura.fr/products/bougie-reconfort-neroli-calcedoine","Calcédoine bleue","calcedoine-bleue","",0,276,"missing_stone_description","story_text_wrongly_rendered"
"10357707014491","Distributeur Savon Lapis-Lazuli","distributeur-savon-lapis-lazuli","https://milaura.fr/products/distributeur-savon-lapis-lazuli","Lapis Lazuli","lapis-lazuli","",0,670,"missing_stone_description","story_text_wrongly_rendered"
"10357641904475","Pendentif Chrysocolle","pendentif-chrysocolle","https://milaura.fr/products/pendentif-chrysocolle","Chrysocolle","chrysocolle","",0,763,"missing_stone_description","story_text_wrongly_rendered"
"10314321101147","Bougie Sérénité - Améthyste","bougie-serenite-the-amethyste","https://milaura.fr/products/bougie-serenite-the-amethyste","Améthyste","amethyste","",0,286,"missing_stone_description","story_text_wrongly_rendered"
"10358580805979","Pendule Sodalite","pendule-sodalite","https://milaura.fr/products/pendule-sodalite","Sodalite","sodalite","",0,677,"missing_stone_description","story_text_wrongly_rendered"
"10357488484699","Bracelet Amazonite 12mm","bracelet-amazonite-4","https://milaura.fr/products/bracelet-amazonite-4","Amazonite","amazonite","",0,662,"missing_stone_description","story_text_wrongly_rendered"
"10357635547483","Pendentif Aventurine","pendentif-aventurine","https://milaura.fr/products/pendentif-aventurine","Aventurine","aventurine","",0,777,"missing_stone_description","story_text_wrongly_rendered"
"10357440446811","Bracelet Baroque Labradorite","bracelet-labradorite","https://milaura.fr/products/bracelet-labradorite","Labradorite","labradorite","",0,645,"missing_stone_description","story_text_wrongly_rendered"
"10359677387099","Pendule Jaspe Rouge","pendule-jaspe-rouge","https://milaura.fr/products/pendule-jaspe-rouge","Jaspe","jaspe","",0,802,"missing_stone_description","story_text_wrongly_rendered"
"10358581625179","Pendule Labradorite","pendule-labradorite","https://milaura.fr/products/pendule-labradorite","Labradorite","labradorite","",0,747,"missing_stone_description","story_text_wrongly_rendered"
"10357462532443","Bracelet Agate Fleur de Cerisier 8mm","bracelet-agate-fleur-de-cerisier-1","https://milaura.fr/products/bracelet-agate-fleur-de-cerisier-1","Agate","agate","",0,686,"missing_stone_description","story_text_wrongly_rendered"
"10357445525851","Bracelet Jaspe Mokaïte 4mm","bracelet-jaspe-mokaite","https://milaura.fr/products/bracelet-jaspe-mokaite","Jaspe","jaspe","",0,542,"missing_stone_description","story_text_wrongly_rendered"
"10357431206235","Boucles d'Oreilles Obsidienne Noire 8mm","boucles-doreilles-obsidienne-noire","https://milaura.fr/products/boucles-doreilles-obsidienne-noire","Obsidienne","obsidienne","",0,651,"missing_stone_description","story_text_wrongly_rendered"
"10359677157723","Pendule Cornaline","pendule-cornaline","https://milaura.fr/products/pendule-cornaline","Cornaline","cornaline","",0,770,"missing_stone_description","story_text_wrongly_rendered"
"10357645771099","Pendentif Tourmaline Noire","pendentif-tourmaline-noire","https://milaura.fr/products/pendentif-tourmaline-noire","Tourmaline","tourmaline","",0,475,"missing_stone_description","story_text_wrongly_rendered"
"10359674765659","Orgonite Pointe Lapis-Lazuli","pointe-lapis-lazuli","https://milaura.fr/products/pointe-lapis-lazuli","Lapis Lazuli","lapis-lazuli","",0,870,"missing_stone_description","story_text_wrongly_rendered"
"10357682766171","Baguette Améthyste","bague-amethyste-1","https://milaura.fr/products/bague-amethyste-1","Améthyste","amethyste","",0,559,"missing_stone_description","story_text_wrongly_rendered"
"10357710029147","Distributeur Savon Quartz Rose","savon-quartz-rose","https://milaura.fr/products/savon-quartz-rose","Quartz Rose","quartz-rose","",0,637,"missing_stone_description","story_text_wrongly_rendered"
"10357660221787","Pendentif Rhodonite Serti Ovale","pendentif-rhodonite","https://milaura.fr/products/pendentif-rhodonite","Rhodonite","rhodonite","",0,664,"missing_stone_description","story_text_wrongly_rendered"
"10357446017371","Bracelet Péridot 4mm","bracelet-peridot","https://milaura.fr/products/bracelet-peridot","Péridot","peridot","",0,687,"missing_stone_description","story_text_wrongly_rendered"
"10357681619291","Baguette Pyrite","bague-pyrite","https://milaura.fr/products/bague-pyrite","Pyrite","pyrite","",0,674,"missing_stone_description","story_text_wrongly_rendered"
"10402435727707","Pendentif Améthyste Argent Rhodié","pendentif-argent-925-rhodie-modele-10-amethyste-facettee-bre","https://milaura.fr/products/pendentif-argent-925-rhodie-modele-10-amethyste-facettee-bre","Améthyste","amethyste","",455,717,"semantic_review_required","story_text_wrongly_rendered"
"10357493203291","Collier Pyrite","collier-pyrite-1","https://milaura.fr/products/collier-pyrite-1","Pyrite","pyrite","",0,788,"missing_stone_description","story_text_wrongly_rendered"
"10357482062171","Bracelet Opale Dendrite 8mm","bracelet-opale-dendrite","https://milaura.fr/products/bracelet-opale-dendrite","Opale","opale","",0,752,"missing_stone_description","story_text_wrongly_rendered"
"10357494055259","Collier Améthyste","collier-amethyste","https://milaura.fr/products/collier-amethyste","Améthyste","amethyste","",0,643,"missing_stone_description","story_text_wrongly_rendered"
"10359675158875","Orgonite Pointe Obsidienne","pointe-obsidienne","https://milaura.fr/products/pointe-obsidienne","Obsidienne","obsidienne","",0,707,"missing_stone_description","story_text_wrongly_rendered"
"10357453160795","Bracelet Jade Néphrite 6mm","bracelet-jade-nephrite","https://milaura.fr/products/bracelet-jade-nephrite","Jade","jade","",0,634,"missing_stone_description","story_text_wrongly_rendered"
"10357705539931","Bol Sélénite Rond - 100 mm","bol-selenite-rond-100-mm","https://milaura.fr/products/bol-selenite-rond-100-mm","Sélénite","selenite","",0,699,"missing_stone_description","story_text_wrongly_rendered"
"10357477704027","Bracelet Jaspe Rouge 8mm","bracelet-jaspe-rouge","https://milaura.fr/products/bracelet-jaspe-rouge","Jaspe","jaspe","",0,808,"missing_stone_description","story_text_wrongly_rendered"
"10357457256795","Bracelet Péridot 6mm","bracelet-peridot-1","https://milaura.fr/products/bracelet-peridot-1","Péridot","peridot","",0,813,"missing_stone_description","story_text_wrongly_rendered"
"10357443854683","Bracelet Baroque Spinelle Noire","bracelet-spinelle-noire","https://milaura.fr/products/bracelet-spinelle-noire","Spinelle","spinelle","",0,658,"missing_stone_description","story_text_wrongly_rendered"
"10357459878235","Bracelet Sélénite 6mm","bracelet-selenite","https://milaura.fr/products/bracelet-selenite","Sélénite","selenite","",0,600,"missing_stone_description","story_text_wrongly_rendered"
"10488132108635","Bague Aigue-Marine Argent","bague-argent-925-modele-01-aigue-marine-bresil-aa-1-piece-lo","https://milaura.fr/products/bague-argent-925-modele-01-aigue-marine-bresil-aa-1-piece-lo","Aigue-Marine","aigue-marine","",530,616,"semantic_review_required","story_text_wrongly_rendered"
"10690121400667","Bracelet baroque en améthyste du Brésil - 16 à 18 cm","bracelet-baroque-en-amethyste-du-bresil-16-a-18-cm","https://milaura.fr/products/bracelet-baroque-en-amethyste-du-bresil-16-a-18-cm","Améthyste du Brésil","amethyste","2026-09-02",111,487,"stone_description_too_short","story_text_wrongly_rendered"
"10690121171291","Bracelet baroque 7 chakras avec améthyste","bracelet-baroque-7-chakras-avec-amethyste","https://milaura.fr/products/bracelet-baroque-7-chakras-avec-amethyste","Améthyste et association minérale 7 chakras","amethyste","2026-09-02",265,550,"semantic_review_required","story_text_wrongly_rendered"
"10690121990491","Bracelet baroque en apatite bleue - 16 à 18 cm","bracelet-baroque-en-apatite-bleue-16-a-18-cm","https://milaura.fr/products/bracelet-baroque-en-apatite-bleue-16-a-18-cm","Apatite bleue","apatite-bleue","2026-09-02",108,471,"stone_description_too_short","story_text_wrongly_rendered"
"10690122514779","Bracelet en calcédoine bleue de Namibie - Perles de 6 mm","bracelet-en-calcedoine-bleue-de-namibie-perles-de-6-mm","https://milaura.fr/products/bracelet-en-calcedoine-bleue-de-namibie-perles-de-6-mm","Calcédoine bleue de Namibie","calcedoine-bleue","2026-09-02",89,454,"stone_description_too_short","story_text_wrongly_rendered"
"10690122875227","Bracelet en cornaline - Perles de 6 mm","bracelet-en-cornaline-perles-de-6-mm","https://milaura.fr/products/bracelet-en-cornaline-perles-de-6-mm","Cornaline","cornaline","2026-09-02",114,477,"stone_description_too_short","story_text_wrongly_rendered"
